,explained_variance,model
0,0.022274964423051213,PR
1,0.03308884861594874,PR
2,0.03390990329376353,PR
3,0.029632776633020996,PR
4,-0.2693247286170455,PR
5,0.048573160661606773,PR
6,0.04220351576263626,PR
7,0.03845044930614849,PR
8,0.05340674671297274,PR
9,0.04786713133167575,PR
10,0.05268464616130575,PR
11,0.010740982571515345,PR
12,0.0514338519066978,PR
13,0.028575437588547747,PR
14,0.03244612942276681,PR
15,0.035216858829288156,PR
16,0.0373842714777578,PR
17,0.02599018618294502,PR
18,0.04246411263385741,PR
19,0.036174821136835345,PR
20,0.01696334058504001,PR
21,0.05680520866229066,PR
22,0.03471612638485355,PR
23,0.04309163399296678,PR
24,0.036662420801387485,PR
25,0.024353722378558262,PR
26,0.021067896649731854,PR
27,0.044369167698212086,PR
28,0.028113970774243047,PR
29,0.026006293739310626,PR
30,0.029793896961040733,PR
31,0.007247180774279549,PR
32,0.02304885127427425,PR
33,0.05928115223221819,PR
34,0.013477556892092513,PR
35,0.03212544748413815,PR
36,0.04589222676877469,PR
37,0.05415559601011277,PR
38,0.011224722079415494,PR
39,0.0338964491236764,PR
40,0.024221141492532405,PR
41,0.019025631335436444,PR
42,0.033100334360510075,PR
43,0.027479461488207457,PR
44,-0.08969930927344127,PR
45,0.015885620895692898,PR
46,0.08212668593455186,PR
47,0.09896573709515444,PR
48,0.015153634906082458,PR
49,0.03591517703326763,PR
50,0.009779911309374167,PR
51,0.015575597537173524,PR
52,0.029342291407200682,PR
53,0.025943023516726837,PR
54,0.08959574372372858,PR
55,0.028747339743862454,PR
56,0.01899530184115905,PR
57,0.006530662837772483,PR
58,0.01954817595077185,PR
59,0.06277320918253015,PR
60,0.023707609240381733,PR
61,0.02388613914367088,PR
62,0.0037911821686756886,PR
63,0.02257200320662678,PR
64,0.027788628611448263,PR
65,0.01717066119046884,PR
66,0.011284030613708973,PR
67,0.03189527884375476,PR
68,0.015290836852996925,PR
69,0.014339196052767345,PR
70,0.01011095280277563,PR
71,0.00600567133295038,PR
72,-0.005949777926542721,PR
73,0.028003943592593283,PR
74,0.01261956056876734,PR
75,0.04024818239531314,PR
76,0.012469435394944828,PR
77,0.036859758898836525,PR
78,0.03380724275174507,PR
79,0.0418626712671919,PR
80,0.006622090202565212,PR
81,0.032256076550114865,PR
82,0.023948806932489464,PR
83,0.02391672061365424,PR
84,0.07931077912043072,PR
85,0.007210949223964369,PR
86,0.037703025205111595,PR
87,0.02377614857706667,PR
88,0.00481634987678492,PR
89,-0.00682675937034638,PR
90,0.056536243195402625,PR
91,0.03549607545029698,PR
92,0.005026578033326512,PR
93,0.015574294453046589,PR
94,0.02031737673283629,PR
95,0.020335202745014325,PR
96,0.05041282440122474,PR
97,0.04047045861602361,PR
98,0.05514538908248434,PR
99,0.0628538931817314,PR
