,mean_possion_devianace,model
0,0.42623255928369147,PR
1,0.5148440615933108,PR
2,0.6256312943073633,PR
3,0.6858476131959931,PR
4,0.7563042326364132,PR
5,0.6545396092263153,PR
6,0.7334017039535083,PR
7,0.5340076292539648,PR
8,0.5124673534066086,PR
9,0.6746888268099941,PR
10,0.6680346757178609,PR
11,0.9832456824272092,PR
12,0.5096889321964055,PR
13,1.0414237629116998,PR
14,0.8765182480328867,PR
15,1.616931239037136,PR
16,0.8748704088416077,PR
17,0.6979188851215626,PR
18,0.7586292836517183,PR
19,0.8124236066429297,PR
20,1.1970416668220774,PR
21,0.7850854882595422,PR
22,1.0739760948455646,PR
23,1.1263410488912864,PR
24,0.9585859288842231,PR
25,0.8106249592096272,PR
26,0.872108100073406,PR
27,0.7904708234693958,PR
28,1.3158469346380506,PR
29,0.8679228942027621,PR
30,0.8257621862286403,PR
31,1.012402962252226,PR
32,0.7341912574935721,PR
33,0.5497474873642153,PR
34,0.9466640286388414,PR
35,0.737602773941019,PR
36,0.8566558540742036,PR
37,1.0501670523318647,PR
38,0.6846117901641912,PR
39,1.3729784388091737,PR
40,0.8115814733344223,PR
41,0.9265000989418666,PR
42,1.1215970304013507,PR
43,1.535455748985712,PR
44,0.7970960148493531,PR
45,1.2148033102632374,PR
46,0.9301905688451517,PR
47,0.765371718974354,PR
48,0.8887529423565607,PR
49,0.9108154987863091,PR
50,1.210562456147394,PR
51,1.2394310182942694,PR
52,0.7675326627007185,PR
53,0.9183636889091572,PR
54,0.555921424930729,PR
55,0.4480929766998399,PR
56,0.8914638784161876,PR
57,1.0594900650311534,PR
58,0.9395564409205952,PR
59,0.5939693091781727,PR
60,0.9471119622291063,PR
61,1.1066735468252726,PR
62,0.7725750292512309,PR
63,1.2537194011453086,PR
64,0.948485296387172,PR
65,0.8737856344236782,PR
66,0.9998441155610517,PR
67,0.9413559010606103,PR
68,0.6460264232236992,PR
69,0.6763177204061297,PR
70,0.8846007633242816,PR
71,0.8700136762516643,PR
72,0.6903382866604773,PR
73,0.5552069164179864,PR
74,0.5604446798170827,PR
75,1.25270556498581,PR
76,0.6555160533103818,PR
77,0.5164874648760059,PR
78,0.6651588104149724,PR
79,0.7172631278280638,PR
80,0.49769648646942904,PR
81,0.8580357449269149,PR
82,1.1062405658338077,PR
83,1.2101168398133944,PR
84,0.6602082224932111,PR
85,0.6989436632717451,PR
86,0.8684737990307396,PR
87,1.0195610865115257,PR
88,1.701197158299403,PR
89,0.7258046064731735,PR
90,0.9400970184980508,PR
91,0.7661414580704143,PR
92,0.7823213434303303,PR
93,0.9219147747117898,PR
94,0.5019525931875953,PR
95,0.7310270275473901,PR
96,0.7341716867403426,PR
97,0.7064542703732832,PR
98,0.9983363506338163,PR
99,1.110051562777226,PR
