,mean_possion_devianace,model
0,0.14430172437680897,HGBR
1,0.3618955217606563,HGBR
2,0.46345623817827253,HGBR
3,0.48381226265209976,HGBR
4,0.6091855401118871,HGBR
5,0.4032965526567925,HGBR
6,0.4377938142894168,HGBR
7,0.3100607634765631,HGBR
8,0.22996262667703696,HGBR
9,0.4990964728915147,HGBR
10,0.3943733196289528,HGBR
11,0.48994847449138185,HGBR
12,0.31921361939809706,HGBR
13,0.9384392685311668,HGBR
14,0.7466131023577401,HGBR
15,1.022982701312631,HGBR
16,0.6838893163266988,HGBR
17,0.4186835475880286,HGBR
18,0.48868346265616047,HGBR
19,0.828645943364646,HGBR
20,1.0691343145772148,HGBR
21,0.7294099826618452,HGBR
22,0.9515502029897507,HGBR
23,0.978169332822845,HGBR
24,0.8151274499405035,HGBR
25,0.7027631040898242,HGBR
26,0.9284487497630903,HGBR
27,0.6583901620378239,HGBR
28,1.092240473694387,HGBR
29,0.7699763613188865,HGBR
30,0.7330813253304268,HGBR
31,1.0072982168429512,HGBR
32,0.689511554344164,HGBR
33,0.4095713347801077,HGBR
34,0.8255685074860063,HGBR
35,0.6631438948224644,HGBR
36,0.7411177208844107,HGBR
37,0.8406250807164456,HGBR
38,0.6793191036872371,HGBR
39,0.9295121548829991,HGBR
40,0.7990002499118112,HGBR
41,0.8337481802360699,HGBR
42,0.8921130082766847,HGBR
43,1.0158653650792717,HGBR
44,0.6838123239414604,HGBR
45,0.9625408280716065,HGBR
46,0.7992393054992883,HGBR
47,0.5712574401913535,HGBR
48,0.8498150318264158,HGBR
49,0.7826607515659064,HGBR
50,1.1025831225379543,HGBR
51,1.3488911244211985,HGBR
52,0.5819466160794117,HGBR
53,0.7750399326320595,HGBR
54,0.44787014433134864,HGBR
55,0.27479769006394067,HGBR
56,0.6723226782812882,HGBR
57,1.0682069513768278,HGBR
58,0.8809445454896706,HGBR
59,0.4728529407551404,HGBR
60,0.8583212685028705,HGBR
61,1.1135112342744264,HGBR
62,0.8975591808419398,HGBR
63,1.0652227908410048,HGBR
64,0.8037169915602463,HGBR
65,0.6940207814260949,HGBR
66,0.8799254413145653,HGBR
67,0.7815592572491551,HGBR
68,0.5716500799667148,HGBR
69,0.4766897339017125,HGBR
70,0.6147362220855028,HGBR
71,0.6532478544257345,HGBR
72,0.6385504632463606,HGBR
73,0.395600784266017,HGBR
74,0.3729534381316481,HGBR
75,0.9246517961274211,HGBR
76,0.5410348502448247,HGBR
77,0.36645343225750554,HGBR
78,0.49566969871194766,HGBR
79,0.5766809344817029,HGBR
80,0.3729336611564629,HGBR
81,0.7733406225527474,HGBR
82,0.9739980975727943,HGBR
83,1.0619450587561534,HGBR
84,0.5926377737535237,HGBR
85,0.4803065760318365,HGBR
86,0.655622698867572,HGBR
87,0.887638425657696,HGBR
88,1.2865945358856437,HGBR
89,0.7195360790812491,HGBR
90,0.8179177808759335,HGBR
91,0.6031076003825463,HGBR
92,0.736151739712987,HGBR
93,0.6690891521934738,HGBR
94,0.3361764833575741,HGBR
95,0.6924705960238795,HGBR
96,0.6289095435201759,HGBR
97,0.5085539494119184,HGBR
98,0.7702173042050672,HGBR
99,0.884723429777076,HGBR
