,root_mean_squared_error,model
0,0.035307339926339665,Forest
1,0.1151005835954006,Forest
2,0.20309584442131406,Forest
3,0.20436328811378895,Forest
4,0.23925639501446225,Forest
5,0.21215353921619853,Forest
6,0.27821759691468706,Forest
7,0.2253135806812701,Forest
8,0.12715816486517986,Forest
9,0.21691332503310637,Forest
10,0.20256091977141613,Forest
11,1.1436623870022427,Forest
12,0.17323447157353883,Forest
13,0.4166104330158411,Forest
14,0.48458440695765037,Forest
15,1.3868377195470276,Forest
16,0.3969084105166655,Forest
17,0.2666497721680014,Forest
18,0.41609111959282524,Forest
19,0.4186739092012425,Forest
20,0.5803406405619769,Forest
21,0.38171481317420763,Forest
22,0.6089033526256336,Forest
23,0.825845621603677,Forest
24,0.5160901136733913,Forest
25,0.3892349063903554,Forest
26,0.37365721157698234,Forest
27,0.34952203039383656,Forest
28,0.7931233460975137,Forest
29,0.4205095638809792,Forest
30,0.5994123940871025,Forest
31,0.6690807762889545,Forest
32,0.3675664697802045,Forest
33,0.13305602777458336,Forest
34,0.46170858499198875,Forest
35,0.2831045174550232,Forest
36,0.4110327203413912,Forest
37,0.5616939359217369,Forest
38,0.24014370033523116,Forest
39,0.6006267955272534,Forest
40,0.41038055360928866,Forest
41,0.4495658424379984,Forest
42,0.4399533387683338,Forest
43,0.8738364946770566,Forest
44,0.3996411586471388,Forest
45,1.1578931437797613,Forest
46,0.5146790001910708,Forest
47,0.33289985792811316,Forest
48,0.3479189231289383,Forest
49,0.5028341784142653,Forest
50,0.7294950352103741,Forest
51,0.6931786286907177,Forest
52,0.39498056246040736,Forest
53,0.43572586498527816,Forest
54,0.18428810486134747,Forest
55,0.05748370112836434,Forest
56,0.6223558112291447,Forest
57,0.5447655559470761,Forest
58,0.5101056827315031,Forest
59,0.15881472980625205,Forest
60,0.6100001649771774,Forest
61,0.5722491006993169,Forest
62,0.3935529121465657,Forest
63,0.9775783209124663,Forest
64,0.4364256383437344,Forest
65,0.3260291980734787,Forest
66,0.4189600506954662,Forest
67,0.461540688081768,Forest
68,0.25246867100741394,Forest
69,0.18907746369062037,Forest
70,0.32705627269294907,Forest
71,0.38391180961312077,Forest
72,0.24174790846947325,Forest
73,0.12341977872192371,Forest
74,0.14854288597588003,Forest
75,0.9428599794744722,Forest
76,0.20410645668160518,Forest
77,0.11080497606727267,Forest
78,0.185936382083384,Forest
79,0.24525795150139829,Forest
80,0.11585428802751986,Forest
81,0.384268010176142,Forest
82,0.6619889138422144,Forest
83,0.7171628383705914,Forest
84,0.2524569149711043,Forest
85,0.3063006170459894,Forest
86,0.38318807388831516,Forest
87,0.5368535542816983,Forest
88,2.251169102808409,Forest
89,0.419869893183958,Forest
90,0.48569489793113074,Forest
91,0.27805442211015685,Forest
92,0.3499755792513323,Forest
93,0.4141432179505472,Forest
94,0.12182191273821172,Forest
95,0.22235884401276218,Forest
96,0.25447041735185694,Forest
97,0.42482159297305844,Forest
98,0.4340249565632948,Forest
99,0.6333067749784212,Forest
