,TC Number,Trains Daily,Vehicles Daily,Train Max Speed (mph),Road Max Speed (km/h),Lanes,Tracks,OccDate,SUBD_OWNER_ABBREV_ENG
7541,29232,30.0,4500.0,40.0,30.0,2.0,2.0,7/11/1994 12:00:00 AM,CP
7542,20002,2.0,175.0,25.0,80.0,2.0,1.0,7/6/1994 12:00:00 AM,CP
7543,19792,17.0,131.0,55.0,80.0,2.0,2.0,7/8/1994 12:00:00 AM,CP
7544,19792,17.0,131.0,55.0,80.0,2.0,2.0,7/8/1994 12:00:00 AM,CP
7545,21700,2.0,1.0,30.0,90.0,2.0,2.0,7/9/1994 12:00:00 AM,CP
7546,21700,2.0,1.0,30.0,90.0,2.0,2.0,7/9/1994 12:00:00 AM,CP
7547,17646,,,,,,,7/10/1994 12:00:00 AM,CN
7548,8003,40.0,500.0,65.0,80.0,2.0,2.0,7/8/1994 12:00:00 AM,CN
7549,8402,11.0,1016.0,40.0,50.0,2.0,1.0,7/10/1994 12:00:00 AM,CN
7550,15287,4.0,60.0,40.0,30.0,2.0,1.0,7/5/1994 12:00:00 AM,CN
7551,11837,28.0,4100.0,40.0,50.0,4.0,1.0,7/2/1994 12:00:00 AM,CN
7552,22208,11.0,202.0,60.0,80.0,2.0,1.0,7/3/1994 12:00:00 AM,CP
7553,22208,11.0,202.0,60.0,80.0,2.0,1.0,7/3/1994 12:00:00 AM,CP
7554,24630,1.0,1450.0,30.0,100.0,2.0,1.0,6/29/1994 12:00:00 AM,CP
7555,25166,21.0,1930.0,55.0,40.0,2.0,2.0,6/28/1994 12:00:00 AM,CP
7556,18022,4.0,202.0,25.0,70.0,2.0,1.0,10/12/1994 12:00:00 AM,CP
7557,18022,4.0,202.0,25.0,70.0,2.0,1.0,10/12/1994 12:00:00 AM,CP
7558,8780,2.0,100.0,25.0,25.0,2.0,1.0,6/26/1994 12:00:00 AM,CP
7559,35622,,,,,,,6/23/1994 12:00:00 AM,CP
7560,35622,,,,,,,6/23/1994 12:00:00 AM,CP
7561,2788,12.0,120.0,40.0,50.0,2.0,1.0,6/22/1994 12:00:00 AM,CN
7562,2788,12.0,120.0,40.0,50.0,2.0,1.0,6/22/1994 12:00:00 AM,CN
7563,36021,17.0,5404.0,55.0,50.0,2.0,1.0,6/22/1994 12:00:00 AM,CP
7564,36021,17.0,5404.0,55.0,50.0,2.0,1.0,6/22/1994 12:00:00 AM,CP
7565,36312,2.0,50.0,25.0,75.0,2.0,1.0,6/21/1994 12:00:00 AM,CP
7566,20562,9.0,5100.0,50.0,80.0,2.0,1.0,6/20/1994 12:00:00 AM,CP
7567,20562,9.0,5100.0,50.0,80.0,2.0,1.0,6/20/1994 12:00:00 AM,CP
7568,20562,9.0,5100.0,50.0,80.0,2.0,1.0,6/20/1994 12:00:00 AM,CP
7569,30997,0.6,3000.0,10.0,50.0,2.0,1.0,6/20/1994 12:00:00 AM,CP
7570,35416,17.0,754.0,55.0,30.0,2.0,1.0,6/17/1994 12:00:00 AM,CP
7571,35416,17.0,754.0,55.0,30.0,2.0,1.0,6/17/1994 12:00:00 AM,CP
7572,10939,,,,,,,6/17/1994 12:00:00 AM,CN
7573,10939,,,,,,,6/17/1994 12:00:00 AM,CN
7574,21142,15.0,402.0,35.0,50.0,2.0,2.0,6/13/1994 12:00:00 AM,CP
7575,21142,15.0,402.0,35.0,50.0,2.0,2.0,6/13/1994 12:00:00 AM,CP
7576,20174,2.0,19838.0,10.0,70.0,3.0,1.0,6/14/1994 12:00:00 AM,CP
7577,20174,2.0,19838.0,10.0,70.0,3.0,1.0,6/14/1994 12:00:00 AM,CP
7578,12089,,,,,,,6/13/1994 12:00:00 AM,CN
7579,12089,,,,,,,6/13/1994 12:00:00 AM,CN
7580,35559,5.0,4540.0,25.0,110.0,4.0,1.0,6/9/1994 12:00:00 AM,CN
7581,35559,5.0,4540.0,25.0,110.0,4.0,1.0,6/9/1994 12:00:00 AM,CN
7582,35559,5.0,4540.0,25.0,110.0,4.0,1.0,6/9/1994 12:00:00 AM,CN
7583,17557,39.86,4510.0,60.0,60.0,2.0,1.0,6/8/1994 12:00:00 AM,CN
7584,17557,39.86,4510.0,60.0,60.0,2.0,1.0,6/8/1994 12:00:00 AM,CN
7585,2542,0.6,10000.0,15.0,90.0,2.0,1.0,6/7/1994 12:00:00 AM,CN
7586,2542,0.6,10000.0,15.0,90.0,2.0,1.0,6/7/1994 12:00:00 AM,CN
7587,27646,0.0,700.0,,50.0,2.0,1.0,6/7/1994 12:00:00 AM,CP
7588,27646,0.0,700.0,,50.0,2.0,1.0,6/7/1994 12:00:00 AM,CP
7589,20266,10.0,5.0,60.0,90.0,1.0,1.0,6/6/1994 12:00:00 AM,CP
7590,13946,55.0,4630.0,30.0,80.0,2.0,2.0,6/4/1994 12:00:00 AM,CN
7591,23233,2.0,120.0,25.0,80.0,2.0,1.0,6/4/1994 12:00:00 AM,CP
7592,22108,25.0,1501.0,55.0,50.0,2.0,2.0,6/4/1994 12:00:00 AM,CP
7593,26369,6.0,3806.0,5.0,50.0,2.0,1.0,6/2/1994 12:00:00 AM,CP
7594,46296,6.0,10.0,25.0,25.0,2.0,1.0,5/31/1994 12:00:00 AM,CP
7595,46296,6.0,10.0,25.0,25.0,2.0,1.0,5/31/1994 12:00:00 AM,CP
7596,27941,6.0,100.0,10.0,50.0,2.0,2.0,5/31/1994 12:00:00 AM,CP
7597,27941,6.0,100.0,10.0,50.0,2.0,2.0,5/31/1994 12:00:00 AM,CP
7598,27941,6.0,100.0,10.0,50.0,2.0,2.0,5/31/1994 12:00:00 AM,CP
7599,32110,14.0,3000.0,10.0,50.0,2.0,1.0,5/29/1994 12:00:00 AM,BN
7600,24395,12.0,8000.0,35.0,50.0,4.0,1.0,5/29/1994 12:00:00 AM,CP
7601,24395,12.0,8000.0,35.0,50.0,4.0,1.0,5/29/1994 12:00:00 AM,CP
7602,600472,2.0,10.0,20.0,0.0,2.0,1.0,5/25/1994 12:00:00 AM,CP
7603,600472,2.0,10.0,20.0,0.0,2.0,1.0,5/25/1994 12:00:00 AM,CP
7604,22464,11.0,2150.0,30.0,60.0,2.0,1.0,5/23/1994 12:00:00 AM,CP
7605,22464,11.0,2150.0,30.0,60.0,2.0,1.0,5/23/1994 12:00:00 AM,CP
7606,35689,0.0,1000.0,0.0,50.0,2.0,1.0,5/20/1994 12:00:00 AM,CP
7607,600476,27.86,10.0,50.0,25.0,2.0,2.0,5/14/1994 12:00:00 AM,CN
7608,32698,,,,,,,5/14/1994 12:00:00 AM,CP
7609,13319,27.86,20.0,60.0,80.0,2.0,1.0,5/14/1994 12:00:00 AM,CN
7610,19834,17.0,100.0,55.0,80.0,2.0,1.0,5/10/1994 12:00:00 AM,CP
7611,19834,17.0,100.0,55.0,80.0,2.0,1.0,5/10/1994 12:00:00 AM,CP
7612,35401,,,,,,,5/9/1994 12:00:00 AM,CN
7615,5106,2.0,2000.0,5.0,50.0,2.0,1.0,4/7/1994 12:00:00 AM,CN
7616,5106,2.0,2000.0,5.0,50.0,2.0,1.0,4/7/1994 12:00:00 AM,CN
7617,11068,2.0,500.0,40.0,50.0,2.0,1.0,5/2/1994 12:00:00 AM,CN
7618,11068,2.0,500.0,40.0,50.0,2.0,1.0,5/2/1994 12:00:00 AM,CN
7619,11068,2.0,500.0,40.0,50.0,2.0,1.0,5/2/1994 12:00:00 AM,CN
7620,20796,,,,,,,4/30/1994 12:00:00 AM,CP
7621,4862,27.0,3400.0,65.0,80.0,2.0,1.0,4/27/1994 12:00:00 AM,CN
7622,4862,27.0,3400.0,65.0,80.0,2.0,1.0,4/27/1994 12:00:00 AM,CN
7623,33603,2.0,3000.0,10.0,50.0,2.0,1.0,4/26/1994 12:00:00 AM,CP
7624,33603,2.0,3000.0,10.0,50.0,2.0,1.0,4/26/1994 12:00:00 AM,CP
7625,36789,0.0,6000.0,0.0,60.0,4.0,1.0,4/23/1994 12:00:00 AM,CN
7626,1833,12.0,10900.0,15.0,50.0,2.0,1.0,4/23/1994 12:00:00 AM,CN
7627,32706,,,,,,,4/21/1994 12:00:00 AM,CP
7628,27451,12.0,5006.0,45.0,50.0,2.0,2.0,4/13/1994 12:00:00 AM,CP
7629,27451,12.0,5006.0,45.0,50.0,2.0,2.0,4/13/1994 12:00:00 AM,CP
7630,19105,10.0,7600.0,60.0,50.0,2.0,1.0,4/13/1994 12:00:00 AM,CP
7631,14593,4.0,7500.0,40.0,50.0,2.0,1.0,4/13/1994 12:00:00 AM,CN
7632,33634,2.0,6400.0,10.0,30.0,4.0,1.0,4/7/1994 12:00:00 AM,CP
7633,33634,2.0,6400.0,10.0,30.0,4.0,1.0,4/7/1994 12:00:00 AM,CP
7635,26730,23.0,9000.0,40.0,50.0,2.0,1.0,4/9/1994 12:00:00 AM,CP
7636,26730,23.0,9000.0,40.0,50.0,2.0,1.0,4/9/1994 12:00:00 AM,CP
7637,30921,9.0,10000.0,35.0,50.0,2.0,1.0,4/8/1994 12:00:00 AM,CP
7638,32688,,,,,,,2/26/1994 12:00:00 AM,CR
7639,32688,,,,,,,2/26/1994 12:00:00 AM,CR
7640,19551,10.0,100.0,60.0,50.0,2.0,1.0,3/31/1994 12:00:00 AM,CP
7641,15261,,,,,,,3/31/1994 12:00:00 AM,CN
7642,29955,4.0,1602.0,30.0,30.0,2.0,1.0,3/31/1994 12:00:00 AM,CP
7643,28415,,,,,,,4/2/1994 12:00:00 AM,CP
7644,8096,40.0,1200.0,65.0,80.0,2.0,2.0,4/1/1994 12:00:00 AM,CN
7645,15170,28.0,3000.0,60.0,50.0,2.0,2.0,4/2/1994 12:00:00 AM,CN
7646,7508,9.0,15000.0,20.0,50.0,4.0,1.0,3/30/1994 12:00:00 AM,CN
7647,15648,2.0,50.0,10.0,50.0,2.0,1.0,3/30/1994 12:00:00 AM,CN
7648,36308,1.0,22500.0,5.0,80.0,4.0,1.0,3/30/1994 12:00:00 AM,CP
7649,36308,1.0,22500.0,5.0,80.0,4.0,1.0,3/30/1994 12:00:00 AM,CP
7650,36308,1.0,22500.0,5.0,80.0,4.0,1.0,3/30/1994 12:00:00 AM,CP
7653,12640,11.7,37000.0,15.0,100.0,6.0,1.0,3/26/1994 12:00:00 AM,CN
7654,12640,11.7,37000.0,15.0,100.0,6.0,1.0,3/26/1994 12:00:00 AM,CN
7655,23757,2.0,5600.0,20.0,70.0,4.0,2.0,3/25/1994 12:00:00 AM,CP
7656,23757,2.0,5600.0,20.0,70.0,4.0,2.0,3/25/1994 12:00:00 AM,CP
7657,11626,140.0,2930.0,60.0,50.0,2.0,4.0,3/25/1994 12:00:00 AM,CN
7658,27421,12.0,2850.0,30.0,50.0,2.0,1.0,3/23/1994 12:00:00 AM,CP
7659,27421,12.0,2850.0,30.0,50.0,2.0,1.0,3/23/1994 12:00:00 AM,CP
7660,27421,12.0,2850.0,30.0,50.0,2.0,1.0,3/23/1994 12:00:00 AM,CP
7661,5330,,,,,,,3/23/1994 12:00:00 AM,CN
7662,4088,,,,,,,3/21/1994 12:00:00 AM,CN
7665,7843,,,,,,,3/18/1994 12:00:00 AM,CN
7666,15611,8.0,50.0,25.0,50.0,2.0,3.0,3/18/1994 12:00:00 AM,CN
7667,600477,8.86,20.0,35.0,30.0,1.0,1.0,3/17/1994 12:00:00 AM,CN
7668,27957,2.0,536.0,25.0,80.0,2.0,1.0,3/16/1994 12:00:00 AM,CP
7669,27957,2.0,536.0,25.0,80.0,2.0,1.0,3/16/1994 12:00:00 AM,CP
7670,2762,,,,,,,3/16/1994 12:00:00 AM,CN
7671,600831,25.86,2.0,45.0,15.0,1.0,1.0,3/12/1994 12:00:00 AM,CN
7672,600831,25.86,2.0,45.0,15.0,1.0,1.0,3/12/1994 12:00:00 AM,CN
7673,781,24.0,1756.0,55.0,80.0,2.0,1.0,3/12/1994 12:00:00 AM,CN
7674,781,24.0,1756.0,55.0,80.0,2.0,1.0,3/12/1994 12:00:00 AM,CN
7675,10085,14.0,2210.0,45.0,90.0,2.0,1.0,3/10/1994 12:00:00 AM,CN
7676,600479,,,,,,,3/8/1994 12:00:00 AM,CN
7677,26969,10.0,50.0,50.0,80.0,2.0,1.0,3/6/1994 12:00:00 AM,CP
7678,3076,3.0,1010.0,30.0,60.0,2.0,1.0,3/4/1994 12:00:00 AM,CN
7679,26354,4.0,2004.0,25.0,80.0,2.0,1.0,3/3/1994 12:00:00 AM,CP
7680,13406,2.0,4000.0,25.0,50.0,2.0,1.0,3/2/1994 12:00:00 AM,CN
7681,13406,2.0,4000.0,25.0,50.0,2.0,1.0,3/2/1994 12:00:00 AM,CN
7682,838,21.86,125.0,45.0,80.0,2.0,1.0,3/1/1994 12:00:00 AM,CN
7683,838,21.86,125.0,45.0,80.0,2.0,1.0,3/1/1994 12:00:00 AM,CN
7684,10419,4.86,1100.0,40.0,50.0,2.0,1.0,3/1/1994 12:00:00 AM,CN
7685,10419,4.86,1100.0,40.0,50.0,2.0,1.0,3/1/1994 12:00:00 AM,CN
7686,5030,52.0,3000.0,60.0,70.0,2.0,2.0,3/1/1994 12:00:00 AM,CN
7687,35776,1.0,3300.0,15.0,60.0,2.0,1.0,3/1/1994 12:00:00 AM,CN
7688,6434,8.0,9200.0,55.0,80.0,2.0,1.0,2/26/1994 12:00:00 AM,CN
7689,6434,8.0,9200.0,55.0,80.0,2.0,1.0,2/26/1994 12:00:00 AM,CN
7690,422,24.86,1104.0,50.0,50.0,2.0,2.0,2/26/1994 12:00:00 AM,CN
7691,790,21.86,3208.0,45.0,60.0,2.0,2.0,2/25/1994 12:00:00 AM,CN
7692,790,21.86,3208.0,45.0,60.0,2.0,2.0,2/25/1994 12:00:00 AM,CN
7693,19466,2.0,25.0,10.0,80.0,2.0,1.0,2/25/1994 12:00:00 AM,CP
7694,19466,2.0,25.0,10.0,80.0,2.0,1.0,2/25/1994 12:00:00 AM,CP
7695,19466,2.0,25.0,10.0,80.0,2.0,1.0,2/25/1994 12:00:00 AM,CP
7696,19466,2.0,25.0,10.0,80.0,2.0,1.0,2/25/1994 12:00:00 AM,CP
7697,19466,2.0,25.0,10.0,80.0,2.0,1.0,2/25/1994 12:00:00 AM,CP
7698,28688,4.0,50.0,40.0,80.0,2.0,1.0,2/24/1994 12:00:00 AM,CP
7699,28688,4.0,50.0,40.0,80.0,2.0,1.0,2/24/1994 12:00:00 AM,CP
7700,5360,0.5,7500.0,10.0,50.0,2.0,1.0,2/23/1994 12:00:00 AM,CN
7701,5459,27.86,300.0,50.0,50.0,2.0,3.0,2/22/1994 12:00:00 AM,CN
7702,20651,,,,,,,2/22/1994 12:00:00 AM,CP
7703,19863,17.0,58.0,55.0,80.0,2.0,1.0,1/24/1994 12:00:00 AM,CP
7704,19863,17.0,58.0,55.0,80.0,2.0,1.0,1/24/1994 12:00:00 AM,CP
7705,18968,10.0,75.0,60.0,80.0,2.0,1.0,2/22/1994 12:00:00 AM,CP
7706,22106,25.0,13500.0,55.0,50.0,2.0,2.0,2/20/1994 12:00:00 AM,CP
7707,22106,25.0,13500.0,55.0,50.0,2.0,2.0,2/20/1994 12:00:00 AM,CP
7708,20649,,,,,,,2/17/1994 12:00:00 AM,CP
7709,9409,2.0,6000.0,10.0,50.0,4.0,2.0,2/17/1994 12:00:00 AM,CN
7710,600301,,,,,,,2/17/1994 12:00:00 AM,CP
7711,600301,,,,,,,2/17/1994 12:00:00 AM,CP
7712,35410,5.0,362.0,40.0,50.0,2.0,1.0,2/17/1994 12:00:00 AM,CP
7713,7530,9.0,2574.0,50.0,70.0,2.0,1.0,2/16/1994 12:00:00 AM,CN
7714,7530,9.0,2574.0,50.0,70.0,2.0,1.0,2/16/1994 12:00:00 AM,CN
7715,1330,3.0,3630.0,25.0,50.0,2.0,3.0,2/16/1994 12:00:00 AM,CN
7716,14182,6.0,350.0,,50.0,2.0,1.0,2/16/1994 12:00:00 AM,CN
