,root_mean_squared_error,model
0,0.06661628821433209,PR
1,0.11182862958986937,PR
2,0.19386572914960148,PR
3,0.23001702268820182,PR
4,0.3409794232957652,PR
5,0.21391258765563814,PR
6,0.33078678120966465,PR
7,0.1411391770020717,PR
8,0.14857316484562785,PR
9,0.25535781207995945,PR
10,0.292870415550761,PR
11,1.2973417928694986,PR
12,0.14601063663107894,PR
13,0.5131585415351311,PR
14,0.3857148782292328,PR
15,1.5494020475105386,PR
16,0.4158283339794403,PR
17,0.2644295647883771,PR
18,0.38911526206662594,PR
19,0.3375245386620065,PR
20,0.6507172897415104,PR
21,0.3591025236211649,PR
22,0.6109091484006994,PR
23,0.6412381819811539,PR
24,0.4766853816950323,PR
25,0.3760486400472993,PR
26,0.3426800831539848,PR
27,0.3242029791210078,PR
28,0.8987473567000589,PR
29,0.40097493580080884,PR
30,0.34684765820909785,PR
31,0.5849041189983276,PR
32,0.25064152308305326,PR
33,0.1391120044363647,PR
34,0.5354430402585837,PR
35,0.2763748376926119,PR
36,0.40655213398701767,PR
37,0.5495105852363076,PR
38,0.20780754420890576,PR
39,0.7996590444238924,PR
40,0.29610454389609686,PR
41,0.38166081333231683,PR
42,0.5803081403633512,PR
43,1.141913063999495,PR
44,0.34620040185779277,PR
45,1.0656461885243365,PR
46,0.4999518649828256,PR
47,0.3356669205127168,PR
48,0.34667447246073707,PR
49,0.44250363899770184,PR
50,0.7271070648235658,PR
51,0.6632239638058404,PR
52,0.318797067311758,PR
53,0.46024263698908296,PR
54,0.17230268572186042,PR
55,0.07075664259963868,PR
56,0.6658593344134267,PR
57,0.4848422675014962,PR
58,0.48512536533497186,PR
59,0.1751527421264276,PR
60,0.5646248581617572,PR
61,0.5596840754558905,PR
62,0.3629895091676516,PR
63,0.9512402644401066,PR
64,0.4849535564938733,PR
65,0.37703952435072613,PR
66,0.43683192336063764,PR
67,0.48917675057018645,PR
68,0.19165955580122232,PR
69,0.20697488099796887,PR
70,0.40341869255582163,PR
71,0.3701823516240937,PR
72,0.21054213150162226,PR
73,0.134326939699347,PR
74,0.16650779953054742,PR
75,1.0533698941606195,PR
76,0.20395851725967307,PR
77,0.1054694963856943,PR
78,0.20998210246651247,PR
79,0.24795484257528522,PR
80,0.09305932532724139,PR
81,0.362070464364529,PR
82,0.6013054336374292,PR
83,0.7407239336211333,PR
84,0.27072605106728354,PR
85,0.30962322442703094,PR
86,0.3944819430062327,PR
87,0.5388135377745192,PR
88,2.2749018826929626,PR
89,0.23706676992073547,PR
90,0.49501909437263564,PR
91,0.3087732771970705,PR
92,0.2831947955675312,PR
93,0.42498735026563245,PR
94,0.10514713401652759,PR
95,0.24909071696846538,PR
96,0.2705966848332631,PR
97,0.2718462307201039,PR
98,0.5167072423220856,PR
99,0.7657148656569138,PR
